t Fq h
4.067367 0.815978 0.050000 
4.082282 0.815369 0.050000 
4.097197 0.814761 0.050000 
4.112112 0.814154 0.050000 
4.127027 0.813547 0.050000 
4.141942 0.812941 0.050000 
4.156857 0.812335 0.050000 
4.171772 0.811729 0.050000 
4.186687 0.811124 0.050000 
4.201602 0.810519 0.050000 
4.216517 0.809915 0.050000 
4.231431 0.809311 0.050000 
4.246346 0.808708 0.050000 
4.261261 0.808105 0.050000 
4.276176 0.807503 0.050000 
4.291091 0.806901 0.050000 
4.306006 0.806299 0.050000 
4.320921 0.805698 0.050000 
4.335836 0.805098 0.050000 
4.350751 0.804497 0.050000 
4.365666 0.803898 0.050000 
4.380581 0.803298 0.050000 
4.395495 0.802700 0.050000 
4.410410 0.802101 0.050000 
4.425325 0.801503 0.050000 
4.440240 0.800906 0.050000 
4.455155 0.800309 0.050000 
4.470070 0.799712 0.050000 
4.484985 0.799116 0.050000 
4.499900 0.798520 0.050000 
4.514815 0.797925 0.050000 
4.529730 0.797330 0.050000 
4.544645 0.796736 0.050000 
4.559560 0.796142 0.050000 
4.574474 0.795548 0.050000 
4.589389 0.794955 0.050000 
4.604304 0.794363 0.050000 
4.619219 0.793770 0.050000 
4.634134 0.793179 0.050000 
4.649049 0.792587 0.050000 
4.663964 0.791997 0.050000 
4.678879 0.791406 0.050000 
4.693794 0.790816 0.050000 
4.708709 0.790227 0.050000 
4.723624 0.789638 0.050000 
4.738539 0.789049 0.050000 
4.753453 0.788461 0.050000 
4.768368 0.787873 0.050000 
4.783283 0.787286 0.050000 
4.798198 0.786699 0.050000 
4.813113 0.786112 0.050000 
4.828028 0.785526 0.050000 
4.842943 0.784941 0.050000 
4.857858 0.784356 0.050000 
4.872773 0.783771 0.050000 
4.887688 0.783187 0.050000 
4.902603 0.782603 0.050000 
4.917518 0.782019 0.050000 
4.932432 0.781436 0.050000 
4.947347 0.780854 0.050000 
4.962262 0.780272 0.050000 
4.977177 0.779690 0.050000 
4.992092 0.779109 0.050000 
5.007007 0.778528 0.050000 
5.021922 0.777948 0.050000 
5.036837 0.777368 0.050000 
5.051752 0.776788 0.050000 
5.066667 0.776209 0.050000 
